rank,title,name,ticker,url,hq,sector,industry,employees,revenues,revenues_change,profits,profits_change,assets,equity
110,Macy’s,"Macy's, Inc.",M,http://www.macysinc.com,"Cincinnati, OH",Retailing,General Merchandisers,148300,25778.00,-4.80,619.00,-42.30,19851.00,4323.00
111,AbbVie,AbbVie Inc.,ABBV,http://www.abbvie.com,"North Chicago, IL",Health Care,Pharmaceuticals,30000,25638.00,12.20,5953.00,15.70,66099.00,4636.00
112,McDonald’s,McDonald's Corporation,MCD,http://www.aboutmcdonalds.com,"Oak Brook, IL","Hotels, Restaurants & Leisure",Food Services,375000,24622.00,-3.10,4686.50,3.50,31024.00,-2204.00
113,DuPont,E.I. du Pont de Nemours and Company,DD,http://www.dupont.com,"Wilmington, DE",Chemicals,Chemicals,46000,NA,-12.00,2513.00,28.70,39964.00,9998.00
114,Northrop Grumman,Northrop Grumman Corporation,NOC,http://www.northropgrumman.com,"Falls Church, VA",Aerospace & Defense,Aerospace and Defense,67000,NA,4.20,2200.00,10.60,25614.00,5259.00
115,ConocoPhillips,ConocoPhillips,COP,http://www.conocophillips.com,"Houston, TX",Energy,"Mining, Crude-Oil Production",13300,24360.00,-21.30,-3615.00,NA,89772.00,34974.00
116,Raytheon,Raytheon Company,RTN,http://www.raytheon.com,"Waltham, MA",Aerospace & Defense,Aerospace and Defense,63000,24069.00,3.50,2211.00,6.60,30052.00,10066.00
117,Tesoro,Tesoro Corporation,TSO,http://www.tsocorp.com,"San Antonio, TX",Energy,Petroleum Refining,6308,24005.00,-14.70,734.00,-52.30,20398.00,5465.00
118,Arrow Electronics,"Arrow Electronics, Inc",ARW,http://www.arrow.com,"Centennial, CO",Wholesalers,Wholesalers: Electronics and Office Equipment,18700,23825.00,2.30,522.80,5.00,14206.00,4413.00
119,Qualcomm,Qualcomm Incorporated,QCOM,http://www.qualcomm.com,"San Diego, CA",Technology,Semiconductors and Other Electronic Components,30500,23554.00,-6.80,5705.00,8.20,52359.00,31778.00
120,Progressive,The Progressive Corporation,PGR,http://www.progressive.com,"Mayfield Village, OH",Financials,Insurance: Property and Casualty (Stock),31721,23441.00,12.40,1031.00,-18.70,33428.00,7957.00
121,Duke Energy,Duke Energy Corporation,DUK,http://www.duke-energy.com,"Charlotte, NC",Energy,Utilities: Gas and Electric,28798,23369.00,-1.00,2152.00,-23.60,132761.00,41033.00
122,Enterprise Products Partners,Enterprise Products Partners L.P.,EPD,http://www.enterpriseproducts.com,"Houston, TX",Energy,Pipelines,6800,23022.00,-14.80,2513.10,-0.30,52194.00,22047.00
123,Amgen,Amgen Inc.,AMGN,http://www.amgen.com,"Thousand Oaks, CA",Health Care,Pharmaceuticals,19200,22991.00,6.10,7722.00,11.30,77626.00,29875.00
124,US Foods Holding,US Foods Holding Corp.,USFD,http://www.usfoods.com,"Rosemont, IL",Wholesalers,Wholesalers: Food and Grocery,25000,22919.00,-0.90,209.80,25.20,8945.00,2538.00
125,U.S. Bancorp,U.S. Bancorp,USB,http://www.usbank.com,"Minneapolis, MN",Financials,Commercial Banks,71191,22744.00,5.80,5888.00,0.20,445964.00,47298.00
126,Aflac,Aflac Incorporated,AFL,http://www.aflac.com,"Columbus, GA",Financials,"Insurance: Life, Health (Stock)",10212,22559.00,8.10,2659.00,5.00,129819.00,20482.00
127,Sears Holdings,Sears Holdings Corporation,SHLD,http://www.searsholdings.com,"Hoffman Estates, IL",Retailing,General Merchandisers,140000,22138.00,-12.00,-2221.00,NA,9362.00,-3824.00
128,Dollar General,Dollar General Corporation,DG,http://www.dollargeneral.com,"Goodlettsville, TN",Retailing,Specialty Retailers: Other,121000,21987.00,7.90,1251.10,7.40,11672.00,5406.00
129,AutoNation,"AutoNation, Inc.",AN,http://www.autonation.com,"Fort Lauderdale, FL",Retailing,"Automotive Retailing, Services",26000,21609.00,3.60,430.50,-2.70,10060.00,2310.00
130,Community Health Systems,"Community Health Systems, Inc.",CYH,http://www.chs.net,"Franklin, TN",Health Care,Health Care: Medical Facilities,108000,21374.00,-5.80,-1721.00,-1189.20,21944.00,1615.00
131,Starbucks,Starbucks Corporation,SBUX,http://www.starbucks.com,"Seattle, WA","Hotels, Restaurants & Leisure",Food Services,254000,21316.00,11.20,2817.70,2.20,14330.00,5884.00
132,Eli Lilly,Eli Lilly and Company,LLY,http://www.lilly.com,"Indianapolis, IN",Health Care,Pharmaceuticals,41975,21222.00,6.30,2737.60,13.70,38806.00,14008.00
133,International Paper,International Paper Company,IP,http://www.internationalpaper.com,"Memphis, TN",Materials,"Packaging, Containers",55000,21079.00,-5.80,904.00,-3.60,33345.00,4341.00
134,Tenet Healthcare,Tenet Healthcare Corporation,THC,http://www.tenethealth.com,"Dallas, TX",Health Care,Health Care: Medical Facilities,116475,21070.00,4.80,-192.00,NA,24701.00,417.00
135,Abbott Laboratories,Abbott Laboratories,ABT,http://www.abbott.com,"Abbott Park, IL",Health Care,NA,75000,20853.00,0.90,1400.00,-68.30,52666.00,20538.00
136,Dollar Tree,"Dollar Tree, Inc.",DLTR,http://www.dollartree.com,"Chesapeake, VA",Retailing,Specialty Retailers: Other,116050,20719.00,33.70,896.20,217.40,15702.00,5390.00
137,Whirlpool,Whirlpool Corporation,WHR,http://www.whirlpoolcorp.com,"Benton Harbor, MI",Industrials,"Electronics, Electrical Equipment",93000,20718.00,-0.80,888.00,13.40,19153.00,4773.00
138,Southwest Airlines,Southwest Airlines Co.,LUV,http://www.southwest.com,"Dallas, TX",Transportation,Airlines,53536,20425.00,3.10,2244.00,2.90,23286.00,8441.00
139,Emerson Electric,Emerson Electric Co.,EMR,http://www.emerson.com,"St. Louis, MO",Industrials,"Electronics, Electrical Equipment",103500,20268.00,-9.10,1635.00,-39.70,21743.00,7568.00
140,Staples,"Staples, Inc.",SPLS,http://www.staples.com,"Framingham, MA",Retailing,Specialty Retailers: Other,61503,20217.00,-4.00,-1497.00,-494.80,8271.00,3688.00
141,Plains GP Holdings,"Plains GP Holdings, L.P.",PAGP,http://www.plainsallamerican.com,"Houston, TX",Energy,NA,5100,20182.00,-12.80,94.00,-20.30,26103.00,1737.00
142,Penske Automotive Group,"Penske Automotive Group, Inc.",PAG,http://www.penskeautomotive.com,"Bloomfield Hills, MI",Retailing,"Automotive Retailing, Services",24000,20143.00,4.00,342.90,5.20,8861.00,1751.00
143,Union Pacific,Union Pacific Corporation,UNP,http://www.up.com,"Omaha, NE",Transportation,Railroads,42919,19941.00,-8.60,4233.00,-11.30,55718.00,19932.00
144,Danaher,Danaher Corporation,DHR,http://www.danaher.com,"Washington, DC",Technology,"Scientific, Photographic and Control Equipment",62000,19912.00,-4.80,2553.70,-23.90,45295.00,23003.00
145,Southern,The Southern Company,SO,http://www.southerncompany.com,"Atlanta, GA",Energy,Utilities: Gas and Electric,32015,19896.00,13.80,2448.00,3.40,109697.00,24758.00
146,ManpowerGroup,ManpowerGroup Inc.,MAN,http://www.manpowergroup.com,"Milwaukee, WI",Business Services,Temporary Help,28000,19654.00,1.70,443.70,5.80,7574.00,2362.00
147,Bristol-Myers Squibb,Bristol-Myers Squibb Company,BMY,http://www.bms.com,"New York, NY",Health Care,Pharmaceuticals,25000,19427.00,17.30,4457.00,184.80,33707.00,16177.00
148,Altria Group,"Altria Group, Inc.",MO,http://www.altria.com,"Richmond, VA","Food, Beverages & Tobacco",Tobacco,8300,19337.00,2.60,14239.00,171.70,45932.00,12770.00
149,Fluor,Fluor Corporation,FLR,http://www.fluor.com,"Irving, TX",Engineering & Construction,"Engineering, Construction",61551,19037.00,5.10,281.40,-31.80,9216.00,3125.00
150,Kohl’s,Kohl's Corporation,KSS,http://www.kohls.com,"Menomonee Falls, WI",Retailing,General Merchandisers,85000,18686.00,-2.70,556.00,-17.40,13574.00,5177.00
151,Lear,Lear Corporation,LEA,http://www.lear.com,"Southfield, MI",Motor Vehicles & Parts,Motor Vehicles and Parts,148400,18558.00,1.90,975.10,30.80,9901.00,3057.00
152,Jabil Circuit,"Jabil Circuit, Inc.",JBL,http://www.jabil.com,"St. Petersburg, FL",Technology,Semiconductors and Other Electronic Components,138000,18353.00,2.50,254.10,-10.50,10323.00,2438.00
153,Hartford Financial Services Group,"The Hartford Financial Services Group, Inc.",HIG,http://www.thehartford.com,"Hartford, CT",Financials,Insurance: Property and Casualty (Stock),16900,18300.00,-0.40,896.00,-46.70,223432.00,16903.00
