tag,date,question_count,question_pct,unanswered_count,unanswered_pct
amazon-simpledb,9/24/2018,392.00,2.38e-5,78.00,1.63e-5
sql-server,9/24/2018,242382.00,1.47E-02,60815.00,1.27E-02
azure,9/24/2018,61205.00,3.71E-03,21091.00,4.40E-03
amazon-elasticache,9/24/2018,434.00,2.63e-5,179.00,3.73e-5
amazon-ecs,9/24/2018,1072.00,6.5e-5,507.00,1.05782e-4
applepayjs,9/24/2018,30.00,1.82e-6,19.00,3.96e-6
amazon-cloudwatch,9/24/2018,1163.00,7.05e-5,494.00,1.03069e-4
amazon-cognito,9/24/2018,2826.00,1.71319e-4,1198.00,2.49954e-4
amazon-redshift,9/24/2018,3495.00,2.11875e-4,1262.00,2.63307e-4
ios9,9/24/2018,4184.00,2.53644e-4,1580.00,3.29656e-4
amazon-dynamodb,9/24/2018,5979.00,3.62461e-4,2173.00,4.5338e-4
applepay,9/24/2018,357.00,2.16e-5,174.00,3.63e-5
amazon-sqs,9/24/2018,1582.00,9.59e-5,558.00,1.16423e-4
cognos,9/24/2018,848.00,5.14e-5,379.00,7.91e-5
amazon-s3,9/24/2018,25426.00,1.54E-03,10013.00,2.09E-03
dropbox-api,9/24/2018,2071.00,1.25549e-4,830.00,1.73173e-4
amazon-emr,9/24/2018,3045.00,1.84595e-4,1241.00,2.58925e-4
amazon-cloudformation,9/24/2018,2514.00,1.52404e-4,889.00,1.85483e-4
amazon-kinesis,9/24/2018,765.00,4.64e-5,379.00,7.91e-5
amazon-ses,9/24/2018,932.00,5.65e-5,353.00,7.37e-5
google-spreadsheet,9/24/2018,15669.00,9.49889e-4,5971.00,1.25E-03
citrix,9/24/2018,597.00,3.62e-5,292.00,6.09e-5
amazon-vpc,9/24/2018,718.00,4.35e-5,214.00,4.46e-5
actionscript-3,9/24/2018,41148.00,2.49E-03,11027.00,2.30E-03
amazon-elastic-beanstalk,9/24/2018,5488.00,3.32695e-4,2218.00,4.62769e-4
ios,9/24/2018,577252.00,3.50E-02,189163.00,3.95E-02
amazon-rds,9/24/2018,2536.00,1.53738e-4,1028.00,2.14484e-4
amazon-rds-aurora,9/24/2018,323.00,1.96e-5,149.00,3.11e-5
amazon-data-pipeline,9/24/2018,399.00,2.42e-5,196.00,4.09e-5
actionscript,9/24/2018,9100.00,5.51663e-4,2443.00,5.09714e-4
android-pay,9/24/2018,490.00,2.97e-5,221.00,4.61e-5
amazon-route53,9/24/2018,1098.00,6.66e-5,390.00,8.14e-5
windows,9/24/2018,124719.00,7.56E-03,38948.00,8.13E-03
ios,9/23/2018,577184.00,3.50E-02,189133.00,3.95E-02
amazon-web-services,9/23/2018,63852.00,3.87E-03,25109.00,5.24E-03
amazon-cloudformation,9/23/2018,2513.00,1.52378e-4,889.00,1.85544e-4
dropbox-api,9/23/2018,2071.00,1.25577e-4,830.00,1.73229e-4
amazon-lambda,9/23/2018,8004.00,4.85329e-4,8004.00,1.67E-03
ios8,9/23/2018,9400.00,5.69978e-4,3213.00,6.70587e-4
amazon-kinesis,9/23/2018,763.00,4.63e-5,377.00,7.87e-5
amazon-vpc,9/23/2018,718.00,4.35e-5,214.00,4.47e-5
applepay,9/23/2018,357.00,2.16e-5,174.00,3.63e-5
amazon-simpledb,9/23/2018,392.00,2.38e-5,78.00,1.63e-5
amazon-cloudwatch,9/23/2018,1163.00,7.05e-5,494.00,1.03103e-4
amazon-dynamodb,9/23/2018,5974.00,3.62239e-4,2171.00,4.5311e-4
amazon-ses,9/23/2018,931.00,5.65e-5,352.00,7.35e-5
citrix,9/23/2018,597.00,3.62e-5,292.00,6.09e-5
amazon-elastic-beanstalk,9/23/2018,5487.00,3.32709e-4,2218.00,4.6292e-4
amazon-rds,9/23/2018,2534.00,1.53651e-4,1028.00,2.14554e-4
android-pay,9/23/2018,490.00,2.97e-5,221.00,4.61e-5
windows,9/23/2018,124696.00,7.56E-03,38937.00,8.13E-03
amazon-cloudfront,9/23/2018,2263.00,1.37219e-4,886.00,1.84917e-4
amazon-cloudsearch,9/23/2018,318.00,1.93e-5,134.00,2.8e-5
android,9/23/2018,1137984.00,6.90E-02,424603.00,8.86E-02
